Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Poster;Internet Movie Database;Rotten Tomatoes;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;Win;Metacritic;Nomination;Oscar
Pinky;1949;Approved;01 Nov 1949;102 min;Drama;Elia Kazan, John Ford;Cid Ricketts Sumner, Philip Dunne, Dudley Nichols;Jeanne Crain, Ethel Barrymore, Ethel Waters;"Pinky, a light-skinned black woman, returns to her grandmother's house in the South after graduating from a Northern nursing school. Pinky tells her grandmother that she has been ""passing"" for white at school in the North. In addition, Pinky has fallen in love with a young white doctor, Dr. Thomas Adams, who knows nothing about her black heritage. Pinky says that she will return to the North, but Granny Johnson convinces her to stay and treat an ailing white woman, Miss Em. Meanwhile, Dr. Canady, a black physician from another part of the state, visits Pinky and asks her to train some African American students, but she declines. Pinky nurses Miss Em but is resentful because she feels that she is doing the same thing her grandmother did. Pinky and Miss Em slowly develop a mutual respect for each other. Mrs. Em leaves Pinky her property when she dies, but relatives of the deceased woman contest the new will in court. To raise money for the court fees, Pinky washes clothes by hand with her grandmother. The court rules in Pinky's favor and she keeps the land. Tom wants her to resume her life as a white woman and to marry him, but she refuses. Pinky decides to use the house and land for Miss Em's Clinic and Nursery School.";English;United States;https://m.media-amazon.com/images/M/MV5BODJhNDI3NjItODJlOC00NmY5LTg1YjEtN2E3NDE2ZWIwMjMxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg;7.02.2010;0,6;N/A;72;2,957;tt0041746;movie;10 Jan 2006;$4,200,000;N/A;N/A;DOÐRU;;;4;3
Sunset Blvd.;1950;Passed;04 Aug 1950;110 min;Drama, Film-Noir;Billy Wilder;Charles Brackett, Billy Wilder, D.M. Marshman Jr.;William Holden, Gloria Swanson, Erich von Stroheim;In Hollywood of the 50's, the obscure screenplay writer Joe Gillis is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond, who lives alone with her butler and driver Max Von Mayerling. Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was her director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer, Norma becomes jealous and completely insane and her madness leads to a tragic end.;English;United States;https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg;8.04.2010;0,98;N/A;84;212,843;tt0043014;movie;11 Nov 2008;$299,645;N/A;N/A;DOÐRU;18;;20;3
As Young as You Feel;1951;Approved;31 Aug 1951;77 min;Comedy;Harmon Jones;Lamar Trotti, Paddy Chayefsky;Monty Woolley, Thelma Ritter, David Wayne;Sixty-five-year-old John Hodges must retire from Acme Printing. He later impersonates the president of the parent company and arrives at his old plant on an inspection tour. Acme president McKinley is so nervous not even his beautiful secretary Harriet can calm him. McKinley's wife Lucille becomes infatuated with Hodges. Many further complications ensue.;English;United States;https://m.media-amazon.com/images/M/MV5BNjYwNDAzODQtZGY2MC00MTI1LTg4MzEtM2UyMGFiOTRjMmQxXkEyXkFqcGdeQXVyNjcwNzI5MTM@._V1_SX300.jpg;6.04.2010;;N/A;64;1,224;tt0043299;movie;20 Apr 2004;N/A;N/A;N/A;DOÐRU;;;;
Císaruv pekar - Pekaruv císar;1952;N/A;08 Jan 1955;110 min;Comedy, Fantasy;Martin Fric;Jirí Brdecka, Martin Fric, Jan Werich;Jan Werich, Marie Vásová, Natasa Gollová;Rudolph II, the Holy Roman Emperor, does not have a simple life. And yet he manages to complicate it even more with his frequent outbursts of anger. While he searches for a mythical Golem, an animated clay statue, Matthew the Baker is thrown into the dungeon for selling the special buns for the emperor to people. Matthew is accidentally mistaken for the emperor and takes his place. And when the Golem is finally found, it will complicate things beyond comprehension...;Czech;Czechoslovakia;https://m.media-amazon.com/images/M/MV5BZTAwOWFiYjQtN2I5ZS00NzhmLWFjMjItMDgyNzFiMjg1YTZkXkEyXkFqcGdeQXVyMzY1MzQyOTY@._V1_SX300.jpg;8.01.2010;;N/A;81;1,285;tt0043411;movie;01 Apr 2019;N/A;N/A;N/A;DOÐRU;;;;
Ikiru;1952;Not Rated;25.Mar.56;143 min;Drama;Akira Kurosawa;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori;Kanji Watanabe is a civil servant. He has worked in the same department for 30 years. His life is pretty boring and monotonous, though he once used to have passion and drive. Then one day he discovers that he has stomach cancer and has less than a year to live. After the initial depression he sets about living for the first time in over 20 years. Then he realises that his limited time left is not just for living life to the full but to leave something meaningful behind...;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BZmM0NGY3Y2MtMTA1YS00YmQzLTk2YTctYWFhMDkzMDRjZWQzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg;8.03.2010;0,98;N/A;83;74,322;tt0044741;movie;06 Jan 2004;$60,239;N/A;N/A;DOÐRU;5;;2;
Limelight;1952;G;31 Oct 1952;137 min;Drama, Music, Romance;Charles Chaplin;Charles Chaplin;Charles Chaplin, Claire Bloom, Nigel Bruce;Chaplin's final American film tells the story of a fading music hall comedian's effort to help a despondent ballet dancer learn both to walk and feel confident about life again. The highlight of the film is the classic duet with Chaplin's only real artistic film comedy rival, Buster Keaton.;English;United States;https://m.media-amazon.com/images/M/MV5BZTg2NmZmM2EtYmFjMi00MGI5LTg3MjItMWEzYzk4ZDgyODA1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg;8.01.2010;0,97;N/A;81;19,558;tt0044837;movie;19.May.15;N/A;N/A;N/A;DOÐRU;7;;4;1
Umberto D.;1952;Not Rated;07 Nov 1955;89 min;Drama;Vittorio De Sica;Cesare Zavattini;Carlo Battisti, Maria Pia Casilio, Lina Gennari;Umberto Ferrari, aged government-pensioner, attends a street demonstration held by his fellow pensioners. The police dispense the crowd and Umberto returns to his cheap furnished room which he shares with his dog Flick. Umberto's lone friend is Maria, servant of the boarding house. She is a simple girl who is pregnant by one of two soldiers and neither will admit to being the father. When Umberto's landlady Antonia demands the rent owed her and threatens eviction if she is not paid, Umberto tries desperately to raise the money by selling his books and watch. He is too proud to beg in the streets and can not get a loan from any of his acquaintances. He contracts a sore throat, is admitted to a hospital and this puts a delay on his financial difficulty. Discharged, he finds that his dog is gone and, following a frantic search, locates him in the city dog pound. His room has been taken over by the landlady and the now-homeless Unberto determines to find a place for his beloved dog, and then kill himself. Unsuccessful, he resolves that his dog must die with him and he stands in the path of a train, with his dog in his arms.;Italian;Italy;https://m.media-amazon.com/images/M/MV5BMTk0ZjgwOTEtYjY1MC00NGQ1LWI2YjAtYmM1MWNlMGZkM2NmXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg;8.02.2010;0,97;92;82;24,755;tt0045274;movie;22 Jul 2003;$71,816;N/A;N/A;DOÐRU;3;92/100;2;1
Tokyo Story;1953;Not Rated;13.Mar.72;136 min;Drama;Yasujirô Ozu;Kôgo Noda, Yasujirô Ozu;Chishû Ryû, Chieko Higashiyama, Sô Yamamura;Elderly couple Shukishi and Tomi Hirayama live in the small coastal village of Onomichi, Japan with their youngest daughter, schoolteacher Kyoko Hirayama. Their other three surviving adult children, who they have not seen in quite some time, live either in Tokyo or Osaka. As such, Shukishi and Tomi make the unilateral decision to have an extended visit in Tokyo with their children, pediatrician Koichi Hirayama and beautician Shige Kaneko, and their respective families (which includes two grandchildren). In transit, they make an unexpected stop in Osaka and stay with their other son, Keiso Hirayama. All of their children treat the visit more as an obligation than a want, each trying to figure out what to do with their parents while they continue on with their own daily lives. At one point, they even decide to ship their parents off to an inexpensive resort at Atami Hot Springs rather than spend time with them. The only offspring who makes a concerted effort on this trip is Noriko Hirayama, their widowed daughter-in-law, whose husband, Shoji Hirayama, was killed eight years earlier in the war. Following the vacation, each child comes to some conclusion of their general behavior toward their parents, not only on this trip but throughout their entire adult lives. For some, this realization may come too late.;Japanese, English;Japan;https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg;8.02.2010;1;N/A;82;58,304;tt0046438;movie;04 Nov 2003;N/A;N/A;N/A;DOÐRU;3;;;
I Live in Fear;1955;N/A;25 Jan 1967;103 min;Drama;Akira Kurosawa;Shinobu Hashimoto, Fumio Hayasaka, Akira Kurosawa;Toshirô Mifune, Takashi Shimura, Minoru Chiaki;Kiichi Nakajima, an elderly foundry owner, is so frightened and obsessed with the idea of nuclear extermination that his family decides to have him ruled incompetent. Nakajima's fervent wish is for his family to join him in escaping from Japan to the relative safety of South America. Harada, a civil volunteer in the case, sympathizes with Nakajima's conviction, but the old man's irrational behaviour prevents the court from taking his fears seriously.;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BY2NjNzdiZWYtNjIyNy00MzUzLTlkZGQtODFlYjM5MDQ3MjcyXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg;7.03.2010;0,75;N/A;73;4,631;tt0048198;movie;15 Jan 2008;$46,808;N/A;N/A;DOÐRU;;;1;
Ordet;1955;Not Rated;10 Jan 1955;126 min;Drama;Carl Theodor Dreyer;Kaj Munk, Carl Theodor Dreyer;Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye;"How do we understand faith and prayer, and what of miracles? August 1925 on a Danish farm. Widowed Patriarch Borgen, who's rather prominent in his community, has three sons: Mikkel, a good-hearted agnostic whose wife Inger is pregnant, Johannes, who believes he is Jesus, and Anders, young, slight, in love with the tailor's daughter. The fundamentalist sect of the girl's father is anathema to Borgen's traditional Lutheranism; he opposes the marriage until the tailor forbids it, then Borgen's pride demands that it happen. Unexpectedly, Inger, who is the family's sweetness and light, has problems with her pregnancy. The rational doctor arrives, and a long night brings sharp focus to at least four views of faith.";Danish;Denmark;https://m.media-amazon.com/images/M/MV5BYjFjYzQ4ZTgtZGQ3MS00NDE2LTlmOTktYTIwOWIwMWVkYjcxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc2MDU0NDE@._V1_SX300.jpg;8.03.2010;1;N/A;83;15,157;tt0048452;movie;11.May.10;N/A;N/A;N/A;DOÐRU;7;;2;
Wild Strawberries;1957;Not Rated;22 Jun 1959;91 min;Drama, Romance;Ingmar Bergman;Ingmar Bergman;Victor Sjöström, Bibi Andersson, Ingrid Thulin;With the exception of his elderly housekeeper Miss Agda who he treats almost like a surrogate platonic wife, widowed seventy-eight year old Dr. Isak Borg, a former medical doctor and professor, has retreated from any human contact, partly his own want but partly the decision of others who do not want to spend time with him because of his cold demeanor. He is traveling from his home in Stockholm to Lund to accept an honorary degree. Instead of flying as was the original plan, he decides to take the day long drive instead. Along for the ride is his daughter-in-law Marianne, who had been staying with him for the month but has now decided to go home. The many stops and encounters along the way make him reminisce about various parts of his life. Those stops which make him reminisce directly are at his childhood summer home, at the home of his equally emotionally cold mother, and at a gas station where the attendants praise him as a man for his work. But the lives of other people they encounter almost mirror his own, including hitchhikers Sara, Viktor and Anders - who remind him of his cousin Sara who he was going to marry, himself and his irresponsible brother Sigfrid who Sara eventually married - a bickering married couple Sten and Berit Alman, and Marianne and her husband and Isak's son Evald, whose marriage is as strained as was his own.;Swedish, Latin;Sweden;https://m.media-amazon.com/images/M/MV5BZjUzNzA1M2MtMjBlOS00MjFiLWFjMzItNjc3ZjcwNGZlOWIyXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SX300.jpg;8.02.2010;0,96;88;82;103,111;tt0050986;movie;12 Feb 2002;N/A;N/A;N/A;DOÐRU;18;88/100;4;1
Narayama bushikô;1958;Not Rated;19 Jun 1961;98 min;Drama;Keisuke Kinoshita;Shichirô Fukazawa, Keisuke Kinoshita;Kinuyo Tanaka, Teiji Takahashi, Yûko Mochizuki;In Kabuki style, the film tells the story of a remote mountain village where the scarcity of food leads to a voluntary but socially-enforced policy in which relatives carry 70-year-old family members up Narayama mountain to die. Granny Orin is approaching 70, content to embrace her fate. Her widowed son Tatsuhei cannot bear losing his mother, even as she arranges his marriage to a widow his age. Her grandson Kesa, who's girlfriend is pregnant, is selfishly happy to see Orin die. Around them, a family of thieves are dealt with severely, and an old man, past 70, whose son has cast him out, scrounges for food. Will Orin's loving and accepting spirit teach and ennoble her family?;Japanese;Japan;https://m.media-amazon.com/images/M/MV5BYjAzZGNlZDEtNDJjMS00NzllLTkwMWItMjFmN2VjOTI4MGRiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;7.09.2010;0,86;N/A;79;3,191;tt0051980;movie;05 Feb 2013;N/A;N/A;N/A;DOÐRU;6;;1;
4D Man;1959;TV-PG;07 Oct 1959;85 min;Action, Horror, Romance;Irvin S. Yeaworth Jr.;Theodore Simonson, Cy Chermak, Jack H. Harris;Robert Lansing, Lee Meriwether, James Congdon;Two brothers, scientists Scott and Tony Nelson, develop an amplifier that enables a person to enter a 4-dimensional state, which allows him to pass through any object. Scott experiments on himself and discovers that each time he passes through something he ages rapidly. He begins killing people, sucking out their life energies and regaining his youth as a result. It falls to Tony and Scott's girlfriend, Linda, to try to put a stop to his murderous rampage.;English;United States;https://m.media-amazon.com/images/M/MV5BNzU5ZDdkMzUtMWUxMC00NmYyLWFlM2EtOTIwYTUzNTA1YmNkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjQ0NDgwNjA@._V1_SX300.jpg;5.09.2010;0,8;N/A;59;1,826;tt0052530;movie;29 Oct 2018;N/A;N/A;N/A;DOÐRU;;;;
The End of Summer;1961;N/A;01 Feb 1962;103 min;Drama;Yasujirô Ozu;Kôgo Noda, Yasujirô Ozu;Ganjirô Nakamura, Setsuko Hara, Yôko Tsukasa;"Approaching his senior years, widowed Manbei Kohayagawa is the owner of a small family run sake brewery in Kyoto. Hisao, his daughter Fumiko's husband, works for the company. Another daughter, Osaka based Akiko, who works at an art gallery, is widowed, her deceased husband who decided not to work in the family business, but maintain his own career as a college professor. Kohayagawa's third and last daughter, Noriko, a clerk in an office, has never been married, but is now of marrying age. Because the business is not doing well as it cannot compete with the larger sake companies, Kohayagawa wants to ensure that all his daughters are taken care of financially, which means finding husbands for both Akiko and Noriko, that task which is aided by Kohayagawa's younger brother-in-law, Yanosuke Kitagawa. Akiko and Noriko know about the arrangements with the potential husbands - although Akiko's first ""date"" is more of a surprise to her - and generally go along with the dates as are requested of them, but neither is sure if it is what she is looking for for herself. Akiko is quite content with her current lot in life, taking care of her growing son, Minoru. And Noriko has only confided in Akiko that she has a close friendship with a man named Tadashi Teramoto, a teacher who has just moved to Sapporo indefinitely for work. Kohayagawa's want for his daughters may also be because he has rediscovered companionship in his own life, with a former mistress, Sasaki Tsune, who he accidentally ran into after not seeing her for nineteen years. Sasaki has told him that her twenty-one year old daughter, spoiled Yuriko Tsune, is his biological daughter, something he believes, although Sasaki doesn't really know or care, as doesn't Yuriko, especially if they can get out of him what they want. Kohayagawa's family does not know of Sasaki currently in his life, but they do know of his marital indiscretion previously with her and do suspect that his ""business meetings"" which are ruses to meet with her are not what he says they are. Something that happens to Kohayagawa leads to Akiko and Noriko coming to some decisions about their own lives.";Japanese, English;Japan;https://m.media-amazon.com/images/M/MV5BNmY1ODNhYzMtYzcyMS00MWI3LWFjNDgtMjBlMzhjOTYzMjRmXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg;7.08.2010;1;N/A;78;3,84;tt0055052;movie;12 Jun 2007;N/A;N/A;N/A;DOÐRU;;;2;
Un singe en hiver;1962;N/A;31 Jan 1963;105 min;Comedy, Drama;Henri Verneuil;Antoine Blondin, François Boyer, Michel Audiard;Jean Gabin, Jean-Paul Belmondo, Suzanne Flon;Albert is an inn owner who vowed never to drink again if he and his wife survived the war. They did, and the reformed alcoholic keeps his vow. But times have changed and soon after the war, Albert comes in contact with Gabriel, a young man prone to heavy bouts with the bottle. Gabriel is conflicted over visiting his young daughter in a nearby school and in a moment of nostalgia, Albert takes off with him on one major binge -- and havoc results.;French;France;https://m.media-amazon.com/images/M/MV5BNzhlMTRlYmMtYjliYy00OTMzLWJlN2ItYmYyNjc4YzBjM2QwXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_SX300.jpg;7.06.2010;;N/A;76;2,739;tt0056636;movie;N/A;N/A;N/A;N/A;DOÐRU;;;;
A Hard Day's Night;1964;G;07 Jul 1964;87 min;Comedy, Musical;Richard Lester;Alun Owen;John Lennon, Paul McCartney, George Harrison;A day and a half in the life of the Fab Four leading up to a televised concert gig. The boys seem to be constantly on the run, from their crazed fans and from their manager, who is constantly trying to rein them in. Sir Ringo Starr however is arrested and still isn't in the studio half an hour before air time. With Sir Paul McCartney's grandfather available for additional comical relief, the group performs a dozen or so songs.;English, German, French;United Kingdom;https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg;7.06.2010;0,98;96;76;43,604;tt0058182;movie;24 Sep 2002;$1,480,356;N/A;N/A;DOÐRU;2;96/100;7;2
Krynytsya dlya sprahlykh;1965;N/A;17 Sep 2011;70 min;Drama;Yuri Ilyenko;Ivan Drach;Dmitri Milyutenko, Larisa Kadochnikova, Feodosiya Litvinenko;The old man who lives a secluded life in the desert, alone with only his memories and photographs.;Ukrainian, Russian;Soviet Union;https://m.media-amazon.com/images/M/MV5BZDZmMmM3Y2EtNzUwNi00OGI1LWJmOGUtY2Q3M2ZkZjJkMGIxXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_SX300.jpg;7.02.2010;;N/A;72;302;tt0059655;movie;N/A;N/A;N/A;N/A;DOÐRU;;;;
